Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Age group (product.metafields.shopify.age-group),Bag/Case material (product.metafields.shopify.bag-case-material),Bedding size (product.metafields.shopify.bedding-size),Care instructions (product.metafields.shopify.care-instructions),Case transparency level (product.metafields.shopify.case-transparency-level),Case type (product.metafields.shopify.case-type),Cleaning instructions (product.metafields.shopify.cleaning-instructions),Color (product.metafields.shopify.color-pattern),Drinkware insulation (product.metafields.shopify.drinkware-insulation),Drinkware material (product.metafields.shopify.drinkware-material),Drinkware shape (product.metafields.shopify.drinkware-shape),Fabric (product.metafields.shopify.fabric),Frame style (product.metafields.shopify.frame-style),Handle type (product.metafields.shopify.handle-type),Ingress protection (IP) rating (product.metafields.shopify.ingress-protection-ip-rating),Jewelry material (product.metafields.shopify.jewelry-material),MagSafe compatibility (product.metafields.shopify.magsafe-compatibility),Material (product.metafields.shopify.material),Microwave compatibility (product.metafields.shopify.microwave-compatibility),Mobile phone case features (product.metafields.shopify.mobile-phone-case-features),Neckline (product.metafields.shopify.neckline),Printing method (product.metafields.shopify.printing-method),Shape (product.metafields.shopify.shape),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Warmth rating (product.metafields.shopify.warmth-rating),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Status
land-of-the-free-iphone-impact-resistant-case-patriotic-stars-stripes-phone-cover,,,,,,,,,iPhone 17 Pro Max,,,Glossy,,,Without gift packaging,,'31282085220390860555,99.7903214,shopify,deny,manual,37.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/10519351828345438613_2048.jpg?v=1783468249,12,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/3476590303983530650_2048.jpg?v=1783468318,lb,,13.69,,,,
land-of-the-free-iphone-impact-resistant-case-patriotic-stars-stripes-phone-cover,,,,,,,,,iPhone 17 Pro Max,,,Matte,,,Without gift packaging,,'22088459156210490106,99.7903214,shopify,deny,manual,37.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/8782706518125872178_2048.jpg?v=1783468250,13,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/14277669936033422153_2048.jpg?v=1783468319,lb,,13.69,,,,
land-of-the-free-iphone-impact-resistant-case-patriotic-stars-stripes-phone-cover,,,,,,,,,iPhone 16,,,Glossy,,,Without gift packaging,,'31056379285394921072,99.7903214,shopify,deny,manual,37.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/3136978347764594290_2048.jpg?v=1783468251,14,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/1632328662337661526_2048.jpg?v=1783468299,lb,,13.69,,,,
land-of-the-free-iphone-impact-resistant-case-patriotic-stars-stripes-phone-cover,,,,,,,,,iPhone 16,,,Matte,,,Without gift packaging,,'33839642880108348225,99.7903214,shopify,deny,manual,37.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/1403594514519746756_2048.jpg?v=1783468253,15,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/17474923700750922260_2048.jpg?v=1783468300,lb,,13.69,,,,
land-of-the-free-iphone-impact-resistant-case-patriotic-stars-stripes-phone-cover,,,,,,,,,iPhone 16 Pro,,,Glossy,,,Without gift packaging,,'23427484924851671520,99.7903214,shopify,deny,manual,37.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/9238738428281646848_2048.jpg?v=1783468254,16,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/17549876072465067499_2048.jpg?v=1783468290,lb,,13.69,,,,
land-of-the-free-iphone-impact-resistant-case-patriotic-stars-stripes-phone-cover,,,,,,,,,iPhone 16 Pro,,,Matte,,,Without gift packaging,,'14346347409617962106,99.7903214,shopify,deny,manual,37.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/4504264777111907372_2048.jpg?v=1783468256,17,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/13246386945984599563_2048.jpg?v=1783468292,lb,,13.69,,,,
land-of-the-free-iphone-impact-resistant-case-patriotic-stars-stripes-phone-cover,,,,,,,,,iPhone 16 Pro Max,,,Glossy,,,Without gift packaging,,'84387847091023740812,99.7903214,shopify,deny,manual,37.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/12769607289887956292_2048.jpg?v=1783468259,18,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/6404514436409576046_2048.jpg?v=1783468294,lb,,13.69,,,,
land-of-the-free-iphone-impact-resistant-case-patriotic-stars-stripes-phone-cover,,,,,,,,,iPhone 16 Pro Max,,,Matte,,,Without gift packaging,,'13232419067907705003,99.7903214,shopify,deny,manual,37.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/259485172312201248_2048.jpg?v=1783468260,19,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/2743347855740612499_2048.jpg?v=1783468296,lb,,13.69,,,,
land-of-the-free-iphone-impact-resistant-case-patriotic-stars-stripes-phone-cover,,,,,,,,,iPhone 16 Plus,,,Glossy,,,Without gift packaging,,'40388369274541698211,99.7903214,shopify,deny,manual,37.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/55915975646644233_2048.jpg?v=1783468262,20,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/5608672714517305319_2048.jpg?v=1783468302,lb,,13.69,,,,
land-of-the-free-iphone-impact-resistant-case-patriotic-stars-stripes-phone-cover,,,,,,,,,iPhone 16 Plus,,,Matte,,,Without gift packaging,,'28240477976821263403,99.7903214,shopify,deny,manual,37.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/2740393429822249720_2048.jpg?v=1783468265,21,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0652/3043/8568/files/7834305173330358597_2048.jpg?v=1783468304,lb,,13.69,,,,
